sent_pos,sent_neg,sent_neu,sent_compound,sent_pos_tokenized,sent_neg_tokenized,sent_neu_tokenized,sent_compound_tokenized
0.162,0.029,0.809,0.973,0.23011111111111113,0.020666666666666667,0.7493333333333333,0.5910111111111112
0.047,0.232,0.721,-0.8591,0.033800000000000004,0.2536,0.7125999999999999,-0.30176
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.044,0.087,0.869,-0.8419,0.03542857142857143,0.07857142857142856,0.886,-0.1512857142857143
0.129,0.052,0.819,0.7837,0.11725,0.0485,0.83425,0.23852500000000001
0.045,0.14,0.815,-0.8459,0.050571428571428566,0.148,0.8014285714285715,-0.19362857142857143
0.0,0.171,0.829,-0.9144,0.0,0.1186,0.8814,-0.28996
0.3,0.0,0.7,0.7184,0.1875,0.0,0.8125,0.1796
0.091,0.081,0.828,0.1706,0.10714285714285714,0.04914285714285714,0.8437142857142856,-0.017514285714285704
0.301,0.0,0.699,0.9612,0.3165,0.0,0.6835,0.432875
0.402,0.0,0.598,0.953,0.41250000000000003,0.0,0.5875000000000001,0.548625
0.046,0.105,0.849,-0.5238,0.04875,0.14400000000000002,0.80725,-0.29550000000000004
0.256,0.073,0.671,0.8653,0.28550000000000003,0.047,0.6675,0.6413
0.121,0.0,0.879,0.765,0.18166666666666664,0.0,0.8183333333333334,0.16871666666666665
0.198,0.0,0.802,0.8847,0.26633333333333337,0.0,0.7336666666666667,0.529
0.024,0.045,0.931,-0.6118,0.0514,0.021800000000000003,0.9268000000000001,0.009199999999999996
0.22,0.09,0.69,0.9917,0.16604347826086954,0.06678260869565217,0.7672173913043477,0.10854782608695654
0.127,0.043,0.83,0.4497,0.21825,0.0295,0.75225,0.133625
0.099,0.04,0.861,0.8913,0.08970588235294119,0.02076470588235294,0.8895294117647059,0.13730588235294117
0.022,0.046,0.933,-0.5542,0.0154,0.0456,0.9390000000000001,-0.09625999999999998
0.096,0.139,0.765,-0.4005,0.061000000000000006,0.22157142857142856,0.7174285714285713,-0.05822857142857143
0.158,0.106,0.735,0.5484,0.12525,0.09025,0.7845,0.006487500000000007
0.292,0.0,0.708,0.978,0.2345714285714286,0.0,0.7654285714285712,0.3632714285714286
0.076,0.152,0.772,-0.8973,0.0666,0.1416,0.792,-0.17079999999999998
0.099,0.061,0.84,0.7269,0.10363636363636362,0.08354545454545456,0.8128636363636363,0.07630454545454544
0.085,0.128,0.788,-0.8622,0.091625,0.085375,0.8230000000000001,-0.06082499999999999
0.246,0.0,0.754,0.8316,0.239,0.0,0.7609999999999999,0.295275
0.185,0.0,0.815,0.945,0.1875,0.0,0.8125,0.31315
0.033,0.038,0.928,-0.1635,0.028200000000000003,0.033600000000000005,0.9381999999999999,0.004519999999999991
0.171,0.047,0.782,0.5058,0.1235,0.0535,0.8230000000000001,0.167825
0.036,0.1,0.864,-0.5106,0.0348,0.1708,0.7944,-0.10646
0.291,0.0,0.709,0.8779,0.32433333333333336,0.0,0.6756666666666667,0.4261333333333333
0.067,0.132,0.801,-0.9231,0.041,0.12633333333333333,0.8327777777777778,-0.13432222222222223
0.039,0.112,0.849,-0.9151,0.04033333333333333,0.08477777777777779,0.8748888888888889,-0.18536666666666665
0.171,0.069,0.761,0.9038,0.1625,0.101,0.7365,0.14454999999999998
0.289,0.031,0.68,0.9493,0.15533333333333332,0.02383333333333333,0.8208333333333333,0.21705
0.089,0.093,0.818,0.1742,0.0812,0.054200000000000005,0.8648,0.025160000000000005
0.329,0.0,0.671,0.8519,0.16933333333333334,0.0,0.8306666666666667,0.28396666666666665
0.169,0.029,0.801,0.9451,0.1863,0.0179,0.7958999999999999,0.23874000000000004
0.064,0.11,0.825,-0.6785,0.050666666666666665,0.07355555555555555,0.8757777777777778,-0.09107777777777776
0.038,0.085,0.877,-0.4364,0.074,0.06933333333333334,0.8566666666666668,-0.08181666666666666
0.186,0.029,0.785,0.8807,0.1714,0.0256,0.8029999999999999,0.29276
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
